dateTime,activities-minutesSedentary,RestHeart,activities-minutesVeryActive,activities-floors,activities-steps,sleep-minutesAsleep,sleep-awakeningsCount,sleep-minutesAwake,sleep-startTime
2017-05-19,773,60,7,11,6677,390,0,50,23:46
2017-05-20,1256,60,0,5,5065,0,0,0,
2017-05-21,693,58,33,5,10970,398,0,46,00:41
2017-05-22,669,57,42,12,11725,389,0,73,23:41
2017-05-23,32,57,57,26,19502,440,6,12,23:41
2017-05-24,661,57,11,13,12376,390,0,51,23:48
2017-05-25,981,57,45,12,16874,0,0,0,
2017-05-26,732,56,0,1,4692,453,0,54,00:06
2017-05-27,768,57,0,0,4395,424,0,70,00:02
2017-05-28,1145,57,13,3,9561,0,0,0,
2017-05-29,710,56,0,10,8122,389,0,51,23:48
2017-05-30,476,56,31,17,15943,371,0,42,00:18
2017-05-31,613,55,42,10,13310,433,0,62,22:52
2017-06-01,1109,55,13,17,10680,0,0,0,
2017-06-02,628,55,5,11,12750,381,0,58,23:57
2017-06-03,757,55,10,3,8488,363,0,69,01:15
2017-06-04,459,57,87,3,24751,409,0,42,00:23
2017-06-05,544,55,32,5,12492,451,0,84,00:02
2017-06-06,1137,55,3,16,8337,0,0,0,
2017-06-07,566,55,34,15,9414,391,0,51,00:04
2017-06-08,696,55,7,14,8016,392,0,51,23:49
2017-06-09,691,56,0,6,6277,425,0,76,23:15
2017-06-10,1275,56,37,5,7065,0,0,0,
2017-06-11,1127,56,0,4,6408,0,0,0,
2017-06-12,649,54,36,15,10595,465,12,25,23:04
2017-06-13,624,55,0,14,11439,355,0,58,00:21
2017-06-14,1075,55,45,9,15582,0,0,0,
2017-06-15,700,56,2,10,7692,384,0,77,00:05
2017-06-16,705,55,30,16,9448,399,0,60,23:36
2017-06-17,673,56,0,9,6974,451,0,57,23:36
2017-06-18,615,56,35,14,10841,385,0,55,00:52
2017-06-19,712,56,26,6,9125,414,0,48,23:27
2017-06-20,626,56,0,8,11711,370,0,46,00:12
2017-06-21,711,58,18,13,12503,351,0,41,00:38
2017-06-22,687,60,29,9,11552,361,0,47,00:32
2017-06-23,635,60,2,9,9664,408,0,55,23:26
2017-06-24,700,59,0,4,4945,447,0,85,00:11
