dateTime,activities-minutesSedentary,RestHeart,activities-minutesVeryActive,activities-floors,activities-steps,sleep-minutesAsleep,sleep-awakeningsCount,sleep-minutesAwake,sleep-startTime
2018-05-28,1227,60,6,21,11119,0,0,0,
2018-05-29,1072,59,11,12,10538,0,0,0,
2018-05-30,1080,59,20,13,13654,0,0,0,
2018-05-31,960,59,12,8,6939,238,15,30,12:52
2018-06-01,1214,58,3,2,5276,0,0,0,
2018-06-02,1185,59,0,5,6341,0,0,0,
2018-06-03,671,59,10,9,7682,422,0,61,00:55
2018-06-04,1219,59,15,8,7042,0,0,0,
2018-06-05,589,57,3,4,11339,390,0,64,23:32
2018-06-06,1159,58,7,9,11031,0,0,0,
2018-06-07,1219,58,0,9,6928,0,0,0,
2018-06-08,1148,58,0,3,7061,0,0,0,
2018-06-09,1164,58,0,2,8080,0,0,0,
2018-06-10,1129,58,30,4,12151,0,0,0,
2018-06-11,1440,58,0,4,7962,0,0,0,
2018-06-12,1437,58,0,3,6258,0,0,0,
2018-06-13,1396,58,0,1,1163,0,0,0,
2018-06-14,1189,57,25,3,8878,0,0,0,
2018-06-15,1196,58,1,2,6387,0,0,0,
2018-06-16,1185,59,22,4,6011,0,0,0,
2018-06-17,798,60,0,4,4695,401,0,63,01:23
2018-06-18,1210,60,23,0,6956,0,0,0,
2018-06-19,1099,60,6,6,9480,0,0,0,
2018-06-20,1427,60,0,12,10142,0,0,0,
2018-06-21,1440,60,0,8,13213,0,0,0,
2018-06-22,1440,59,0,3,6370,0,0,0,
2018-06-23,1440,59,0,2,0,0,0,0,
2018-06-24,1440,59,0,0,0,0,0,0,
2018-06-25,1440,60,0,4,9303,0,0,0,
2018-06-26,1404,60,0,5,11781,0,0,0,
2018-06-27,1172,62,30,11,10747,0,0,0,
2018-06-28,1269,63,0,4,4029,0,0,0,
2018-06-29,1193,64,0,2,5614,0,0,0,
2018-06-30,531,64,4,4,11640,457,0,54,00:39
2018-07-01,1075,64,1,10,9163,0,0,0,
2018-07-02,1187,64,12,7,9203,0,0,0,
2018-07-03,1380,65,0,1,1795,0,0,0,
2018-07-04,1251,65,1,11,6451,0,0,0,
2018-07-05,1440,65,0,0,0,0,0,0,
2018-07-06,1234,67,7,2,4987,0,0,0,
2018-07-07,1180,68,20,3,8838,0,0,0,
2018-07-08,1161,67,14,3,8736,0,0,0,
2018-07-09,1222,66,15,3,9096,0,0,0,
2018-07-10,1070,66,5,6,10903,0,0,0,
2018-07-11,1194,66,16,11,9243,0,0,0,
2018-07-12,1183,67,28,4,9544,0,0,0,
2018-07-13,815,64,5,6,8250,327,0,40,01:01
2018-07-14,678,64,0,2,6064,436,21,41,00:37
2018-07-15,16,65,1,5,8979,554,8,12,00:22
2018-07-16,671,63,64,18,16366,397,0,50,00:22
2018-07-17,821,62,21,13,10118,320,0,40,03:33
2018-07-18,778,62,50,8,10559,382,0,57,00:50
2018-07-19,676,62,47,14,13216,409,8,15,00:43
2018-07-20,1198,63,2,13,6335,0,0,0,
2018-07-21,968,63,26,5,16258,0,0,0,
2018-07-22,786,63,5,0,7713,348,0,66,01:24
2018-07-23,744,61,7,0,7977,403,0,58,00:53
2018-07-24,752,63,0,0,8663,369,0,53,01:15
2018-07-25,1198,63,0,0,7899,0,0,0,
2018-07-26,1231,63,1,0,6651,0,0,0,
2018-07-27,1440,63,0,0,0,0,0,0,
2018-07-28,1440,63,0,0,0,0,0,0,
2018-07-29,1440,63,0,0,0,0,0,0,
2018-07-30,1085,62,9,9,11805,0,0,0,
2018-07-31,442,62,23,15,15847,485,0,86,23:41
2018-08-01,595,62,36,11,9743,460,0,76,00:17
2018-08-02,638,60,18,10,8090,463,0,51,23:37
2018-08-03,601,60,29,5,13026,505,11,9,23:35
2018-08-04,562,60,18,12,12694,426,0,79,23:56
2018-08-05,1331,60,4,1,3968,0,0,0,
2018-08-06,1406,59,0,0,883,0,0,0,
2018-08-07,439,61,26,9,8826,469,0,84,23:50
2018-08-08,1440,61,0,8,8363,0,0,0,
2018-08-09,989,61,19,19,14555,168,6,5,05:14
2018-08-10,1134,60,4,9,8232,0,0,0,
2018-08-11,584,61,18,5,15643,411,13,21,01:12
2018-08-12,688,62,14,0,8652,442,13,19,00:47
2018-08-13,719,63,8,0,8264,419,0,51,00:28
2018-08-14,1145,64,23,0,12234,0,0,0,
2018-08-15,649,64,24,0,12375,411,0,49,00:53
2018-08-16,742,66,12,0,9223,386,0,24,01:30
2018-08-17,666,69,24,0,14152,394,0,50,01:40
2018-08-18,858,68,76,2,17835,270,0,25,03:31
2018-08-19,1112,68,5,10,12094,0,0,0,
2018-08-20,1152,67,94,11,17035,0,0,0,
2018-08-21,1376,66,0,3,12559,0,0,0,
2018-08-22,1161,66,31,6,11151,0,0,0,
2018-08-23,1057,65,39,3,9565,128,8,13,05:15
2018-08-24,1264,63,0,14,4179,0,0,0,
2018-08-25,745,63,0,3,3879,430,0,91,00:20
2018-08-26,1149,63,7,5,9844,0,0,0,
2018-08-27,1170,62,35,14,11295,0,0,0,
2018-08-28,1073,62,38,5,9772,0,0,0,
2018-08-29,1431,62,0,10,5505,0,0,0,
2018-08-30,1440,62,0,8,12317,0,0,0,
2018-08-31,1440,61,0,5,5452,0,0,0,
2018-09-01,1422,61,0,3,6847,0,0,0,
2018-09-02,1099,59,0,7,6210,67,1,1,12:02
2018-09-03,750,59,57,23,12749,423,13,23,23:43
2018-09-04,1003,60,50,9,12033,0,0,0,
2018-09-05,1116,61,20,9,10385,0,0,0,
2018-09-06,1189,60,22,14,11401,0,0,0,
2018-09-07,1251,60,0,7,3863,0,0,0,
2018-09-08,1181,60,24,6,6825,0,0,0,
2018-09-09,1196,60,0,2,5504,0,0,0,
2018-09-10,880,59,12,8,8623,286,0,42,01:36
2018-09-11,1138,58,0,2,7140,0,0,0,
2018-09-12,1138,59,74,12,15496,0,0,0,
2018-09-13,559,59,67,20,15472,521,0,65,21:20
2018-09-14,1102,59,62,8,14581,0,0,0,
2018-09-15,1290,59,0,4,2790,0,0,0,
2018-09-16,1091,59,4,9,9318,0,0,0,
2018-09-17,1121,59,33,11,11851,0,0,0,
2018-09-18,1082,60,40,13,11533,0,0,0,
2018-09-19,1433,60,0,14,12982,0,0,0,
2018-09-20,1211,61,0,8,5286,0,0,0,
2018-09-21,1248,61,0,3,6249,0,0,0,
2018-09-22,1097,59,0,3,9462,0,0,0,
2018-09-23,1187,60,8,3,7677,0,0,0,
2018-09-24,1163,59,5,10,9510,0,0,0,
2018-09-25,1037,58,4,10,13491,0,0,0,
2018-09-26,799,59,35,12,11437,406,11,16,23:34
2018-09-27,1193,59,1,11,7652,0,0,0,
2018-09-28,1144,59,65,7,14014,0,0,0,
2018-09-29,1036,59,5,8,12639,0,0,0,
2018-09-30,1165,60,2,7,7565,0,0,0,
2018-10-01,1440,60,0,19,10260,0,0,0,
2018-10-02,1440,60,0,10,6606,0,0,0,
2018-10-03,930,61,27,9,8597,0,0,0,
2018-10-04,793,60,0,4,3997,642,19,43,20:35
2018-10-05,1173,60,38,7,12052,0,0,0,
2018-10-06,1056,59,7,4,13070,0,0,0,
2018-10-07,1073,59,5,5,11771,0,0,0,
2018-10-08,1178,59,44,7,11982,0,0,0,
2018-10-09,1048,60,38,11,12732,0,0,0,
2018-10-10,1096,61,54,14,16184,0,0,0,
2018-10-11,1192,62,4,15,10624,0,0,0,
2018-10-12,1328,61,0,2,2734,0,0,0,
2018-10-13,761,61,29,9,13270,362,0,46,00:24
2018-10-14,1440,61,0,6,7079,0,0,0,
2018-10-15,1274,60,0,18,11431,0,0,0,
2018-10-16,1099,60,40,5,10225,0,0,0,
2018-10-17,1046,61,22,14,15336,0,0,0,
2018-10-18,1284,60,0,8,3795,0,0,0,
2018-10-19,1141,60,61,12,13972,0,0,0,
2018-10-20,1157,59,9,6,8684,0,0,0,
2018-10-21,1284,59,0,2,4563,0,0,0,
2018-10-22,1236,59,14,8,6382,0,0,0,
2018-10-23,1241,60,0,25,6943,0,0,0,
2018-10-24,1223,61,19,9,8553,0,0,0,
2018-10-25,1198,61,17,7,8975,0,0,0,
2018-10-26,1233,62,0,4,4630,0,0,0,
2018-10-27,1017,62,8,16,13299,0,0,0,
2018-10-28,1207,62,17,2,7677,0,0,0,
2018-10-29,1107,61,48,17,13105,0,0,0,
2018-10-30,1179,62,0,7,6429,0,0,0,
2018-10-31,1139,63,6,5,8985,0,0,0,
2018-11-01,1438,63,0,0,38,0,0,0,
2018-11-02,1312,62,0,4,2794,0,0,0,
2018-11-03,1130,61,44,5,9371,0,0,0,
2018-11-04,1163,60,0,9,7631,0,0,0,
2018-11-05,1216,60,4,11,8302,0,0,0,
2018-11-06,1052,59,16,5,10703,0,0,0,
2018-11-07,1094,60,29,16,13943,0,0,0,
2018-11-08,1185,61,22,18,9161,0,0,0,
2018-11-09,1225,61,0,3,5898,0,0,0,
2018-11-10,1115,61,0,4,9263,0,0,0,
2018-11-11,1219,61,0,4,5344,0,0,0,
2018-11-12,1213,60,14,10,8890,0,0,0,
2018-11-13,1101,60,10,5,10480,0,0,0,
2018-11-14,1175,59,23,14,12828,0,0,0,
2018-11-15,1161,58,17,15,10078,0,0,0,
2018-11-16,1272,57,0,3,3704,0,0,0,
2018-11-17,1029,57,30,5,12807,0,0,0,
2018-11-18,1240,58,7,6,8703,0,0,0,
2018-11-19,1418,58,0,10,8551,0,0,0,
2018-11-20,1151,57,0,5,8576,0,0,0,
2018-11-21,1222,57,3,12,7131,0,0,0,
2018-11-22,1191,57,2,10,6880,0,0,0,
2018-11-23,1218,57,0,5,6284,0,0,0,
2018-11-24,1166,56,4,8,9080,0,0,0,
2018-11-25,1185,57,0,4,6732,0,0,0,
2018-11-26,1200,57,0,10,7104,0,0,0,
2018-11-27,1174,57,0,5,6598,0,0,0,
2018-11-28,1119,58,16,4,11471,0,0,0,
2018-11-29,1110,58,52,17,14681,0,0,0,
2018-11-30,1313,57,0,0,2640,0,0,0,
2018-12-01,1126,56,13,3,10365,0,0,0,
2018-12-02,1176,56,1,3,7349,0,0,0,
2018-12-03,711,56,43,10,13935,358,0,70,23:58
2018-12-04,500,57,52,7,14703,396,0,80,23:18
2018-12-05,717,56,44,18,14356,371,0,69,23:54
2018-12-06,727,57,13,22,10002,393,0,59,00:00
2018-12-07,782,57,0,5,4606,429,0,53,23:21
2018-12-08,775,57,0,9,6810,338,0,60,00:36
2018-12-09,588,58,61,5,10053,451,0,53,00:32
2018-12-10,814,58,43,19,12563,299,0,42,01:30
2018-12-11,634,57,5,6,9639,400,0,55,23:27
2018-12-12,712,57,9,24,13264,369,0,53,00:08
2018-12-13,770,58,51,9,12490,337,0,44,00:53
2018-12-14,1206,59,0,3,6072,0,0,0,
2018-12-15,603,62,75,5,11622,456,0,66,00:35
2018-12-16,1183,63,4,7,7240,0,0,0,
2018-12-17,647,62,39,8,11847,405,0,74,23:16
2018-12-18,738,62,0,4,7191,358,0,53,00:23
2018-12-19,782,60,23,12,8919,360,0,50,00:33
2018-12-20,1177,59,4,9,7411,0,0,0,
2018-12-21,224,59,0,4,4431,491,15,24,23:37
2018-12-22,689,59,1,5,7167,375,0,69,00:52
2018-12-23,658,58,42,2,6794,445,0,90,23:46
2018-12-24,1121,58,8,7,9267,0,0,0,
2018-12-25,619,58,11,6,7306,484,13,19,00:26
2018-12-26,668,57,4,4,7351,561,20,33,23:02
2018-12-27,1051,57,4,6,10321,0,0,0,
2018-12-28,485,56,0,7,5197,576,27,68,00:19
2018-12-29,654,56,6,8,10380,391,0,58,01:19
2018-12-30,1229,57,29,39,8148,0,0,0,
2018-12-31,1231,56,0,4,4541,0,0,0,
2019-01-01,753,55,5,10,8123,331,0,73,02:43
2019-01-02,1134,55,16,6,8315,0,0,0,
2019-01-03,654,55,4,9,10082,414,13,20,01:07
2019-01-04,919,54,0,3,3586,316,2,3,02:43
2019-01-05,729,55,3,4,6493,435,0,62,00:39
2019-01-06,636,58,30,6,8563,406,0,78,01:24
2019-01-07,724,57,33,13,11088,382,0,54,23:49
2019-01-08,725,56,17,16,9364,400,0,53,23:42
2019-01-09,1105,56,17,16,11918,0,0,0,
2019-01-10,1219,56,2,5,6236,0,0,0,
2019-01-11,726,55,58,23,13168,439,12,16,23:45
2019-01-12,639,55,1,10,8401,478,15,24,01:21
2019-01-13,694,55,20,10,6662,385,0,72,01:04
2019-01-14,780,54,10,10,6845,382,0,53,00:06
2019-01-15,669,53,0,6,5203,380,0,54,00:03
2019-01-16,1143,53,25,7,10557,0,0,0,
2019-01-17,771,54,34,16,10972,356,0,36,00:41
2019-01-18,746,56,0,6,6269,427,0,43,23:30
2019-01-19,577,56,31,3,10220,495,8,15,00:17
2019-01-20,712,56,1,4,7142,389,0,57,01:08
2019-01-21,844,56,0,5,5884,323,0,71,00:34
2019-01-22,1083,56,18,2,11595,0,0,0,
2019-01-23,784,54,2,5,4472,342,0,52,00:25
2019-01-24,220,54,7,12,9563,464,13,28,23:02
2019-01-25,418,54,0,0,144,426,0,53,23:27
