Days,Years,Months,date,activities-minutesSedentary,activities-minutesVeryActive,activities-floors,sleep-minutesAsleep,activities-steps,sleep-awakeningsCount,RestHeart
Monday,2017,June,2017-06-05,544,32,5,451,12492,0,55
Tuesday,2017,June,2017-06-06,1137,3,16,0,8337,0,55
Wednesday,2017,June,2017-06-07,566,34,15,391,9414,0,55
Thursday,2017,June,2017-06-08,696,7,14,392,8016,0,55
Friday,2017,June,2017-06-09,691,0,6,425,6277,0,56
Saturday,2017,June,2017-06-10,1275,37,5,0,7065,0,56
Sunday,2017,June,2017-06-11,1127,0,4,0,6408,0,56
Monday,2017,June,2017-06-12,649,36,15,465,10595,12,54
Tuesday,2017,June,2017-06-13,624,0,14,355,11439,0,55
Wednesday,2017,June,2017-06-14,1075,45,9,0,15582,0,55
Thursday,2017,June,2017-06-15,700,2,10,384,7692,0,56
Friday,2017,June,2017-06-16,705,30,16,399,9448,0,55
Saturday,2017,June,2017-06-17,673,0,9,451,6974,0,56
Sunday,2017,June,2017-06-18,615,35,14,385,10841,0,56
Monday,2017,June,2017-06-19,712,26,6,414,9125,0,56
Tuesday,2017,June,2017-06-20,626,0,8,370,11711,0,56
Wednesday,2017,June,2017-06-21,711,18,13,351,12503,0,58
Thursday,2017,June,2017-06-22,687,29,9,361,11552,0,60
Friday,2017,June,2017-06-23,635,2,9,408,9664,0,60
Saturday,2017,June,2017-06-24,700,0,4,447,4945,0,59
Sunday,2017,June,2017-06-25,652,0,9,445,6219,0,59
Monday,2017,June,2017-06-26,663,0,4,421,6010,0,58
Tuesday,2017,June,2017-06-27,715,0,5,374,5871,0,58
Wednesday,2017,June,2017-06-28,702,0,1,444,4636,0,58
Thursday,2017,June,2017-06-29,728,0,3,395,7161,0,57
Friday,2017,June,2017-06-30,781,0,4,390,6336,0,57
Saturday,2017,July,2017-07-01,673,7,3,411,6750,0,60
Sunday,2017,July,2017-07-02,391,0,3,542,3472,0,59
Monday,2017,July,2017-07-03,455,0,7,569,6937,0,58
Tuesday,2017,July,2017-07-04,556,7,8,401,12994,0,58
Wednesday,2017,July,2017-07-05,755,36,13,393,10535,0,60
Thursday,2017,July,2017-07-06,774,1,3,409,5068,0,58
Friday,2017,July,2017-07-07,695,14,9,388,9940,0,59
Saturday,2017,July,2017-07-08,734,6,5,323,9994,8,59
Sunday,2017,July,2017-07-09,828,0,9,321,6416,8,58
Monday,2017,July,2017-07-10,785,41,16,341,10931,0,57
Tuesday,2017,July,2017-07-11,715,18,8,376,11153,0,58
Wednesday,2017,July,2017-07-12,623,0,3,422,7148,0,58
Thursday,2017,July,2017-07-13,769,24,7,360,8129,0,58
Friday,2017,July,2017-07-14,600,26,20,380,15611,0,58
Saturday,2017,July,2017-07-15,498,23,6,466,11146,17,60
Sunday,2017,July,2017-07-16,658,19,0,348,12742,0,59
Monday,2017,July,2017-07-17,686,0,1,379,12828,0,59
Tuesday,2017,July,2017-07-18,703,10,0,393,11257,0,59
Wednesday,2017,July,2017-07-19,1133,42,1,0,12494,0,59
Thursday,2017,July,2017-07-20,632,22,1,334,15464,0,60
Friday,2017,July,2017-07-21,640,8,0,377,14707,0,61
Saturday,2017,July,2017-07-22,586,106,3,310,24599,0,61
Sunday,2017,July,2017-07-23,624,5,14,421,11990,0,61
Monday,2017,July,2017-07-24,760,5,6,405,5937,9,61
Tuesday,2017,July,2017-07-25,715,5,30,502,7900,4,61
Wednesday,2017,July,2017-07-26,1021,34,108,0,9035,0,60
Thursday,2017,July,2017-07-27,650,33,122,516,15065,29,58
Friday,2017,July,2017-07-28,979,71,161,0,23214,0,59
Saturday,2017,July,2017-07-29,376,23,42,402,21896,0,60
Sunday,2017,July,2017-07-30,707,0,29,243,8552,0,61
Monday,2017,July,2017-07-31,616,16,38,475,13157,23,61
Tuesday,2017,August,2017-08-01,487,33,88,469,17499,0,61
