Days,Years,Months,date,activities-minutesSedentary,activities-minutesVeryActive,activities-floors,sleep-minutesAsleep,activities-steps,sleep-awakeningsCount,RestHeart
Thursday,2018,April,2018-04-26,1191,51,23,0,13116,0,59
Friday,2018,April,2018-04-27,588,3,3,368,7579,0,58
Saturday,2018,April,2018-04-28,663,6,8,581,8309,11,58
Sunday,2018,April,2018-04-29,674,10,18,446,7700,0,58
Monday,2018,April,2018-04-30,757,0,1,430,4600,0,57
Tuesday,2018,May,2018-05-01,629,23,44,437,10457,0,58
Wednesday,2018,May,2018-05-02,675,0,0,475,5510,0,56
Thursday,2018,May,2018-05-03,675,7,5,419,7850,0,56
Friday,2018,May,2018-05-04,553,9,10,523,9954,0,56
Saturday,2018,May,2018-05-05,1034,3,3,127,9601,2,56
Sunday,2018,May,2018-05-06,1244,0,5,0,4996,0,56
Monday,2018,May,2018-05-07,1123,7,22,0,10467,0,57
Tuesday,2018,May,2018-05-08,1048,5,50,0,15455,0,57
Wednesday,2018,May,2018-05-09,1118,26,21,0,12836,0,58
Thursday,2018,May,2018-05-10,1438,0,0,0,18,0,58
Friday,2018,May,2018-05-11,1440,0,0,0,0,0,58
Saturday,2018,May,2018-05-12,1440,0,0,0,0,0,58
Sunday,2018,May,2018-05-13,1440,0,0,0,0,0,58
Monday,2018,May,2018-05-14,1387,0,0,0,249,0,58
Tuesday,2018,May,2018-05-15,730,2,6,320,8609,13,59
Wednesday,2018,May,2018-05-16,236,5,10,491,9005,14,60
Thursday,2018,May,2018-05-17,721,0,6,373,7952,0,62
Friday,2018,May,2018-05-18,784,6,9,445,5943,11,61
Saturday,2018,May,2018-05-19,616,27,11,404,11935,0,61
Sunday,2018,May,2018-05-20,742,10,1,284,13006,0,59
Monday,2018,May,2018-05-21,630,8,2,412,10617,0,59
Tuesday,2018,May,2018-05-22,1269,0,2,71,1138,1,58
Wednesday,2018,May,2018-05-23,732,16,15,470,11096,10,58
Thursday,2018,May,2018-05-24,1249,0,11,0,6091,0,58
Friday,2018,May,2018-05-25,630,40,5,439,11622,0,58
Saturday,2018,May,2018-05-26,1135,0,6,0,7173,0,58
Sunday,2018,May,2018-05-27,1252,10,6,0,8627,0,59
Monday,2018,May,2018-05-28,1227,6,21,0,11119,0,60
Tuesday,2018,May,2018-05-29,1072,11,12,0,10538,0,59
Wednesday,2018,May,2018-05-30,1080,20,13,0,13654,0,59
Thursday,2018,May,2018-05-31,960,12,8,238,6939,15,59
Friday,2018,June,2018-06-01,1214,3,2,0,5276,0,58
Saturday,2018,June,2018-06-02,1185,0,5,0,6341,0,59
Sunday,2018,June,2018-06-03,671,10,9,422,7682,0,59
Monday,2018,June,2018-06-04,1219,15,8,0,7042,0,59
Tuesday,2018,June,2018-06-05,589,3,4,390,11339,0,57
Wednesday,2018,June,2018-06-06,1159,7,9,0,11031,0,58
Thursday,2018,June,2018-06-07,1219,0,9,0,6928,0,58
Friday,2018,June,2018-06-08,1148,0,3,0,7061,0,58
Saturday,2018,June,2018-06-09,1164,0,2,0,8080,0,58
Sunday,2018,June,2018-06-10,1129,30,4,0,12151,0,58
Monday,2018,June,2018-06-11,1440,0,4,0,7962,0,58
Tuesday,2018,June,2018-06-12,1437,0,3,0,6258,0,58
Wednesday,2018,June,2018-06-13,1396,0,1,0,1163,0,58
Thursday,2018,June,2018-06-14,1189,25,3,0,8878,0,57
Friday,2018,June,2018-06-15,1196,1,2,0,6387,0,58
Saturday,2018,June,2018-06-16,1185,22,4,0,6011,0,59
Sunday,2018,June,2018-06-17,798,0,4,401,4695,0,60
Monday,2018,June,2018-06-18,1210,23,0,0,6956,0,60
Tuesday,2018,June,2018-06-19,1099,6,6,0,9480,0,60
Wednesday,2018,June,2018-06-20,1427,0,12,0,10142,0,60
Thursday,2018,June,2018-06-21,1440,0,8,0,13213,0,60
Friday,2018,June,2018-06-22,1440,0,3,0,6370,0,59
Saturday,2018,June,2018-06-23,1440,0,2,0,0,0,59
Sunday,2018,June,2018-06-24,1440,0,0,0,0,0,59
Monday,2018,June,2018-06-25,1440,0,4,0,9303,0,60
Tuesday,2018,June,2018-06-26,1404,0,5,0,11781,0,60
Wednesday,2018,June,2018-06-27,1172,30,11,0,10747,0,62
Thursday,2018,June,2018-06-28,1269,0,4,0,4029,0,63
Friday,2018,June,2018-06-29,1193,0,2,0,5614,0,64
Saturday,2018,June,2018-06-30,531,4,4,457,11640,0,64
Sunday,2018,July,2018-07-01,1075,1,10,0,9163,0,64
Monday,2018,July,2018-07-02,1187,12,7,0,9203,0,64
Tuesday,2018,July,2018-07-03,1380,0,1,0,1795,0,65
Wednesday,2018,July,2018-07-04,1251,1,11,0,6451,0,65
Thursday,2018,July,2018-07-05,1440,0,0,0,0,0,65
Friday,2018,July,2018-07-06,1234,7,2,0,4987,0,67
Saturday,2018,July,2018-07-07,1180,20,3,0,8838,0,68
Sunday,2018,July,2018-07-08,1161,14,3,0,8736,0,67
Monday,2018,July,2018-07-09,1222,15,3,0,9096,0,66
Tuesday,2018,July,2018-07-10,1070,5,6,0,10903,0,66
Wednesday,2018,July,2018-07-11,1194,16,11,0,9243,0,66
Thursday,2018,July,2018-07-12,1183,28,4,0,9544,0,67
Friday,2018,July,2018-07-13,815,5,6,327,8250,0,64
Saturday,2018,July,2018-07-14,678,0,2,436,6064,21,64
Sunday,2018,July,2018-07-15,16,1,5,554,8979,8,65
Monday,2018,July,2018-07-16,671,64,18,397,16366,0,63
Tuesday,2018,July,2018-07-17,821,21,13,320,10118,0,62
Wednesday,2018,July,2018-07-18,778,50,8,382,10559,0,62
Thursday,2018,July,2018-07-19,676,47,14,409,13216,8,62
Friday,2018,July,2018-07-20,1198,2,13,0,6335,0,63
Saturday,2018,July,2018-07-21,968,26,5,0,16258,0,63
Sunday,2018,July,2018-07-22,786,5,0,348,7713,0,63
Monday,2018,July,2018-07-23,744,7,0,403,7977,0,61
Tuesday,2018,July,2018-07-24,752,0,0,369,8663,0,63
Wednesday,2018,July,2018-07-25,1198,0,0,0,7899,0,63
Thursday,2018,July,2018-07-26,1231,1,0,0,6651,0,63
Friday,2018,July,2018-07-27,1440,0,0,0,0,0,63
Saturday,2018,July,2018-07-28,1440,0,0,0,0,0,63
Sunday,2018,July,2018-07-29,1440,0,0,0,0,0,63
Monday,2018,July,2018-07-30,1085,9,9,0,11805,0,62
Tuesday,2018,July,2018-07-31,442,23,15,485,15847,0,62
Wednesday,2018,August,2018-08-01,595,36,11,460,9743,0,62
Thursday,2018,August,2018-08-02,638,18,10,463,8090,0,60
Friday,2018,August,2018-08-03,601,29,5,505,13026,11,60
Saturday,2018,August,2018-08-04,562,18,12,426,12694,0,60
Sunday,2018,August,2018-08-05,1331,4,1,0,3968,0,60
Monday,2018,August,2018-08-06,1406,0,0,0,883,0,59
Tuesday,2018,August,2018-08-07,439,26,9,469,8826,0,61
Wednesday,2018,August,2018-08-08,1440,0,8,0,8363,0,61
Thursday,2018,August,2018-08-09,989,19,19,168,14555,6,61
Friday,2018,August,2018-08-10,1134,4,9,0,8232,0,60
Saturday,2018,August,2018-08-11,584,18,5,411,15643,13,61
Sunday,2018,August,2018-08-12,688,14,0,442,8652,13,62
Monday,2018,August,2018-08-13,719,8,0,419,8264,0,63
Tuesday,2018,August,2018-08-14,1145,23,0,0,12234,0,64
Wednesday,2018,August,2018-08-15,649,24,0,411,12375,0,64
Thursday,2018,August,2018-08-16,742,12,0,386,9223,0,66
Friday,2018,August,2018-08-17,666,24,0,394,14152,0,69
Saturday,2018,August,2018-08-18,858,76,2,270,17835,0,68
Sunday,2018,August,2018-08-19,1112,5,10,0,12094,0,68
Monday,2018,August,2018-08-20,1152,94,11,0,17035,0,67
Tuesday,2018,August,2018-08-21,1376,0,3,0,12559,0,66
Wednesday,2018,August,2018-08-22,1161,31,6,0,11151,0,66
Thursday,2018,August,2018-08-23,1057,39,3,128,9565,8,65
Friday,2018,August,2018-08-24,1264,0,14,0,4179,0,63
Saturday,2018,August,2018-08-25,745,0,3,430,3879,0,63
Sunday,2018,August,2018-08-26,1149,7,5,0,9844,0,63
Monday,2018,August,2018-08-27,1170,35,14,0,11295,0,62
Tuesday,2018,August,2018-08-28,1073,38,5,0,9772,0,62
Wednesday,2018,August,2018-08-29,1431,0,10,0,5505,0,62
Thursday,2018,August,2018-08-30,1440,0,8,0,12317,0,62
Friday,2018,August,2018-08-31,1440,0,5,0,5452,0,61
Saturday,2018,September,2018-09-01,1422,0,3,0,6847,0,61
Sunday,2018,September,2018-09-02,1099,0,7,67,6210,1,59
Monday,2018,September,2018-09-03,750,57,23,423,12749,13,59
Tuesday,2018,September,2018-09-04,1003,50,9,0,12033,0,60
Wednesday,2018,September,2018-09-05,1116,20,9,0,10385,0,61
Thursday,2018,September,2018-09-06,1189,22,14,0,11401,0,60
Friday,2018,September,2018-09-07,1251,0,7,0,3863,0,60
Saturday,2018,September,2018-09-08,1181,24,6,0,6825,0,60
Sunday,2018,September,2018-09-09,1196,0,2,0,5504,0,60
Monday,2018,September,2018-09-10,880,12,8,286,8623,0,59
Tuesday,2018,September,2018-09-11,1138,0,2,0,7140,0,58
Wednesday,2018,September,2018-09-12,1138,74,12,0,15496,0,59
Thursday,2018,September,2018-09-13,559,67,20,521,15472,0,59
Friday,2018,September,2018-09-14,1102,62,8,0,14581,0,59
Saturday,2018,September,2018-09-15,1290,0,4,0,2790,0,59
Sunday,2018,September,2018-09-16,1091,4,9,0,9318,0,59
Monday,2018,September,2018-09-17,1121,33,11,0,11851,0,59
Tuesday,2018,September,2018-09-18,1082,40,13,0,11533,0,60
Wednesday,2018,September,2018-09-19,1433,0,14,0,12982,0,60
Thursday,2018,September,2018-09-20,1211,0,8,0,5286,0,61
Friday,2018,September,2018-09-21,1248,0,3,0,6249,0,61
Saturday,2018,September,2018-09-22,1097,0,3,0,9462,0,59
Sunday,2018,September,2018-09-23,1187,8,3,0,7677,0,60
Monday,2018,September,2018-09-24,1163,5,10,0,9510,0,59
Tuesday,2018,September,2018-09-25,1037,4,10,0,13491,0,58
Wednesday,2018,September,2018-09-26,799,35,12,406,11437,11,59
Thursday,2018,September,2018-09-27,1193,1,11,0,7652,0,59
Friday,2018,September,2018-09-28,1144,65,7,0,14014,0,59
Saturday,2018,September,2018-09-29,1036,5,8,0,12639,0,59
Sunday,2018,September,2018-09-30,1165,2,7,0,7565,0,60
Monday,2018,October,2018-10-01,1440,0,19,0,10260,0,60
Tuesday,2018,October,2018-10-02,1440,0,10,0,6606,0,60
Wednesday,2018,October,2018-10-03,930,27,9,0,8597,0,61
Thursday,2018,October,2018-10-04,793,0,4,642,3997,19,60
Friday,2018,October,2018-10-05,1173,38,7,0,12052,0,60
Saturday,2018,October,2018-10-06,1056,7,4,0,13070,0,59
Sunday,2018,October,2018-10-07,1073,5,5,0,11771,0,59
Monday,2018,October,2018-10-08,1178,44,7,0,11982,0,59
Tuesday,2018,October,2018-10-09,1048,38,11,0,12732,0,60
Wednesday,2018,October,2018-10-10,1096,54,14,0,16184,0,61
Thursday,2018,October,2018-10-11,1192,4,15,0,10624,0,62
Friday,2018,October,2018-10-12,1328,0,2,0,2734,0,61
Saturday,2018,October,2018-10-13,761,29,9,362,13270,0,61
Sunday,2018,October,2018-10-14,1440,0,6,0,7079,0,61
Monday,2018,October,2018-10-15,1274,0,18,0,11431,0,60
Tuesday,2018,October,2018-10-16,1099,40,5,0,10225,0,60
Wednesday,2018,October,2018-10-17,1046,22,14,0,15336,0,61
Thursday,2018,October,2018-10-18,1284,0,8,0,3795,0,60
Friday,2018,October,2018-10-19,1141,61,12,0,13972,0,60
Saturday,2018,October,2018-10-20,1157,9,6,0,8684,0,59
Sunday,2018,October,2018-10-21,1284,0,2,0,4563,0,59
Monday,2018,October,2018-10-22,1236,14,8,0,6382,0,59
Tuesday,2018,October,2018-10-23,1241,0,25,0,6943,0,60
Wednesday,2018,October,2018-10-24,1223,19,9,0,8553,0,61
Thursday,2018,October,2018-10-25,1198,17,7,0,8975,0,61
Friday,2018,October,2018-10-26,1233,0,4,0,4630,0,62
Saturday,2018,October,2018-10-27,1017,8,16,0,13299,0,62
Sunday,2018,October,2018-10-28,1207,17,2,0,7677,0,62
Monday,2018,October,2018-10-29,1107,48,17,0,13105,0,61
Tuesday,2018,October,2018-10-30,1179,0,7,0,6429,0,62
Wednesday,2018,October,2018-10-31,1139,6,5,0,8985,0,63
Thursday,2018,November,2018-11-01,1438,0,0,0,38,0,63
Friday,2018,November,2018-11-02,1312,0,4,0,2794,0,62
Saturday,2018,November,2018-11-03,1130,44,5,0,9371,0,61
Sunday,2018,November,2018-11-04,1163,0,9,0,7631,0,60
Monday,2018,November,2018-11-05,1216,4,11,0,8302,0,60
Tuesday,2018,November,2018-11-06,1052,16,5,0,10703,0,59
Wednesday,2018,November,2018-11-07,1094,29,16,0,13943,0,60
Thursday,2018,November,2018-11-08,1185,22,18,0,9161,0,61
Friday,2018,November,2018-11-09,1225,0,3,0,5898,0,61
Saturday,2018,November,2018-11-10,1115,0,4,0,9263,0,61
Sunday,2018,November,2018-11-11,1219,0,4,0,5344,0,61
Monday,2018,November,2018-11-12,1213,14,10,0,8890,0,60
Tuesday,2018,November,2018-11-13,1101,10,5,0,10480,0,60
Wednesday,2018,November,2018-11-14,1175,23,14,0,12828,0,59
Thursday,2018,November,2018-11-15,1161,17,15,0,10078,0,58
Friday,2018,November,2018-11-16,1272,0,3,0,3704,0,57
Saturday,2018,November,2018-11-17,1029,30,5,0,12807,0,57
Sunday,2018,November,2018-11-18,1240,7,6,0,8703,0,58
Monday,2018,November,2018-11-19,1418,0,10,0,8551,0,58
Tuesday,2018,November,2018-11-20,1151,0,5,0,8576,0,57
Wednesday,2018,November,2018-11-21,1222,3,12,0,7131,0,57
Thursday,2018,November,2018-11-22,1191,2,10,0,6880,0,57
Friday,2018,November,2018-11-23,1218,0,5,0,6284,0,57
Saturday,2018,November,2018-11-24,1166,4,8,0,9080,0,56
Sunday,2018,November,2018-11-25,1185,0,4,0,6732,0,57
Monday,2018,November,2018-11-26,1200,0,10,0,7104,0,57
Tuesday,2018,November,2018-11-27,1174,0,5,0,6598,0,57
Wednesday,2018,November,2018-11-28,1119,16,4,0,11471,0,58
Thursday,2018,November,2018-11-29,1110,52,17,0,14681,0,58
Friday,2018,November,2018-11-30,1313,0,0,0,2640,0,57
Saturday,2018,December,2018-12-01,1126,13,3,0,10365,0,56
Sunday,2018,December,2018-12-02,1176,1,3,0,7349,0,56
Monday,2018,December,2018-12-03,711,43,10,358,13935,0,56
Tuesday,2018,December,2018-12-04,500,52,7,396,14703,0,57
Wednesday,2018,December,2018-12-05,717,44,18,371,14356,0,56
Thursday,2018,December,2018-12-06,727,13,22,393,10002,0,57
Friday,2018,December,2018-12-07,782,0,5,429,4606,0,57
Saturday,2018,December,2018-12-08,775,0,9,338,6810,0,57
Sunday,2018,December,2018-12-09,588,61,5,451,10053,0,58
Monday,2018,December,2018-12-10,814,43,19,299,12563,0,58
Tuesday,2018,December,2018-12-11,634,5,6,400,9639,0,57
Wednesday,2018,December,2018-12-12,712,9,24,369,13264,0,57
Thursday,2018,December,2018-12-13,770,51,9,337,12490,0,58
Friday,2018,December,2018-12-14,1206,0,3,0,6072,0,59
Saturday,2018,December,2018-12-15,603,75,5,456,11622,0,62
Sunday,2018,December,2018-12-16,1183,4,7,0,7240,0,63
Monday,2018,December,2018-12-17,647,39,8,405,11847,0,62
Tuesday,2018,December,2018-12-18,738,0,4,358,7191,0,62
Wednesday,2018,December,2018-12-19,782,23,12,360,8919,0,60
Thursday,2018,December,2018-12-20,1177,4,9,0,7411,0,59
Friday,2018,December,2018-12-21,224,0,4,491,4431,15,59
Saturday,2018,December,2018-12-22,689,1,5,375,7167,0,59
Sunday,2018,December,2018-12-23,658,42,2,445,6794,0,58
Monday,2018,December,2018-12-24,1121,8,7,0,9267,0,58
Tuesday,2018,December,2018-12-25,619,11,6,484,7306,13,58
Wednesday,2018,December,2018-12-26,668,4,4,561,7351,20,57
Thursday,2018,December,2018-12-27,1051,4,6,0,10321,0,57
Friday,2018,December,2018-12-28,485,0,7,576,5197,27,56
Saturday,2018,December,2018-12-29,654,6,8,391,10380,0,56
Sunday,2018,December,2018-12-30,1229,29,39,0,8148,0,57
Monday,2018,December,2018-12-31,1231,0,4,0,4541,0,56
Tuesday,2019,January,2019-01-01,753,5,10,331,8123,0,55
Wednesday,2019,January,2019-01-02,1134,16,6,0,8315,0,55
Thursday,2019,January,2019-01-03,654,4,9,414,10082,13,55
Friday,2019,January,2019-01-04,919,0,3,316,3586,2,54
Saturday,2019,January,2019-01-05,729,3,4,435,6493,0,55
Sunday,2019,January,2019-01-06,636,30,6,406,8563,0,58
Monday,2019,January,2019-01-07,724,33,13,382,11088,0,57
Tuesday,2019,January,2019-01-08,725,17,16,400,9364,0,56
Wednesday,2019,January,2019-01-09,1105,17,16,0,11918,0,56
Thursday,2019,January,2019-01-10,1219,2,5,0,6236,0,56
Friday,2019,January,2019-01-11,726,58,23,439,13168,12,55
Saturday,2019,January,2019-01-12,639,1,10,478,8401,15,55
Sunday,2019,January,2019-01-13,694,20,10,385,6662,0,55
